order_id,customer_id,amount,status,country,event_ts,load_at
o-000033,c-1607,1185.07,completed,BR,2026-06-04T03:42:00Z,2026-06-05
o-000034,c-0726,1061.83,completed,BR,2026-05-29T21:41:00Z,2026-05-29
o-000035,c-0125,1009.54,completed,BR,2026-06-05T07:12:00Z,2026-06-05
o-000036,c-1099,1124.29,completed,BR,2026-06-27T14:15:00Z,2026-06-27
o-000037,c-0908,2021.02,pending,BR,2026-06-04T01:41:00Z,2026-06-04
o-000038,c-1985,237.69,pending,BR,2026-06-22T05:26:00Z,2026-06-23
o-000039,c-0986,538.30,completed,BR,2026-05-30T05:24:00Z,2026-05-30
o-000040,c-0800,666.68,pending,BR,2026-07-20T09:27:00Z,2026-07-21
o-000041,c-0318,478.80,completed,BR,2026-05-30T18:47:00Z,2026-05-30
o-000042,c-1532,787.44,completed,BR,2026-07-23T16:58:00Z,2026-07-23
o-000043,c-0117,2402.14,completed,BR,2026-06-15T02:38:00Z,2026-06-15
o-000044,c-1383,2155.24,completed,BR,2026-08-03T07:37:00Z,2026-08-03
o-000045,c-1269,209.55,completed,BR,2026-08-03T16:20:00Z,2026-08-04
o-000046,c-0419,1675.97,completed,BR,2026-06-25T12:08:00Z,2026-06-26
o-000047,c-0937,793.86,pending,BR,2026-06-01T00:29:00Z,2026-06-01
o-000048,c-0151,1346.40,completed,BR,2026-06-08T11:56:00Z,2026-06-08
o-000049,c-1801,614.49,completed,BR,2026-07-18T17:45:00Z,2026-07-19
o-000050,c-1253,2459.71,pending,BR,2026-07-29T00:42:00Z,2026-07-30
o-000051,c-1909,1660.15,cancelled,BR,2026-06-09T08:07:00Z,2026-06-09
o-000052,c-1521,1385.29,completed,BR,2026-08-08T06:45:00Z,2026-08-09
o-000053,c-0417,1720.31,pending,BR,2026-07-26T15:16:00Z,2026-07-26
o-000054,c-0190,1587.54,pending,BR,2026-05-28T00:21:00Z,2026-05-28
o-000055,c-1305,2449.60,completed,BR,2026-07-18T17:45:00Z,2026-07-19
o-000056,c-1149,29.13,completed,BR,2026-08-19T04:34:00Z,2026-08-19
o-000057,c-1710,926.19,completed,BR,2026-07-17T04:02:00Z,2026-07-18
o-000058,c-0747,2247.96,pending,BR,2026-05-28T11:13:00Z,2026-05-28
o-000059,c-1366,261.47,pending,BR,2026-07-14T19:47:00Z,2026-07-14
o-000060,c-1896,2325.05,pending,BR,2026-06-14T13:01:00Z,2026-06-14
o-000061,c-1509,2311.60,pending,BR,2026-07-14T21:55:00Z,2026-07-14
o-000062,c-0547,402.20,completed,BR,2026-07-10T01:54:00Z,2026-07-11
o-000063,c-0456,502.93,cancelled,BR,2026-07-06T09:52:00Z,2026-07-06
o-000064,c-0457,64.04,completed,BR,2026-07-04T08:55:00Z,2026-07-04
o-000065,c-1981,1934.45,completed,BR,2026-07-27T12:43:00Z,2026-07-28
o-000066,c-1924,73.86,pending,BR,2026-06-25T05:37:00Z,2026-06-26
o-000067,c-0079,275.46,completed,BR,2026-07-02T13:38:00Z,2026-07-02
o-000068,c-0789,2249.26,completed,BR,2026-05-28T22:27:00Z,2026-05-28
o-000069,c-1065,2314.31,completed,BR,2026-08-16T06:23:00Z,2026-08-17
o-000070,c-0144,2372.44,cancelled,BR,2026-08-10T10:42:00Z,2026-08-10
o-000071,c-1475,2250.62,completed,BR,2026-08-16T13:20:00Z,2026-08-17
o-000072,c-1428,742.66,completed,BR,2026-07-15T21:24:00Z,2026-07-15
o-000073,c-1261,1424.92,completed,BR,2026-05-23T09:18:00Z,2026-05-23
o-000074,c-0881,1965.47,completed,BR,2026-07-03T14:28:00Z,2026-07-04
o-000075,c-1384,538.18,completed,BR,2026-06-13T21:05:00Z,2026-06-14
o-000076,c-1056,1661.32,completed,BR,2026-06-03T07:43:00Z,2026-06-04
o-000077,c-0461,2017.37,completed,BR,2026-05-28T07:30:00Z,2026-05-28
o-000078,c-0933,1039.03,completed,BR,2026-06-16T22:44:00Z,2026-06-17
o-000079,c-1013,1002.13,completed,BR,2026-08-19T00:57:00Z,2026-08-19
o-000080,c-1595,1065.74,completed,BR,2026-08-20T16:29:00Z,2026-08-20
o-000081,c-1142,626.75,pending,BR,2026-07-20T04:51:00Z,2026-07-21
o-000082,c-1368,1330.17,completed,BR,2026-07-02T14:39:00Z,2026-07-03
o-000083,c-1702,2267.60,completed,BR,2026-06-12T23:55:00Z,2026-06-13
o-000084,c-0922,651.68,completed,BR,2026-08-12T08:49:00Z,2026-08-13
o-000085,c-1284,601.92,completed,BR,2026-06-28T07:17:00Z,2026-06-29
o-000086,c-0655,2233.10,completed,BR,2026-06-11T07:24:00Z,2026-06-11
o-000087,c-1447,538.81,completed,BR,2026-07-04T17:29:00Z,2026-07-05
o-000088,c-0128,521.05,completed,BR,2026-08-05T22:01:00Z,2026-08-06
o-000089,c-0977,19.71,completed,BR,2026-07-11T13:34:00Z,2026-07-11
o-000090,c-1000,552.46,completed,BR,2026-05-26T12:21:00Z,2026-05-27
o-000091,c-1484,416.79,completed,BR,2026-06-08T19:34:00Z,2026-06-08
o-000092,c-1858,988.08,completed,BR,2026-05-26T02:41:00Z,2026-05-27
o-000093,c-0278,2167.79,completed,BR,2026-06-25T12:20:00Z,2026-06-25
o-000094,c-0932,820.48,pending,BR,2026-07-10T08:48:00Z,2026-07-11
o-000095,c-0517,2088.10,completed,BR,2026-07-31T01:22:00Z,2026-07-31
o-000096,c-1332,176.20,cancelled,BR,2026-05-28T00:15:00Z,2026-05-28
o-000097,c-1719,55.85,completed,BR,2026-06-08T15:42:00Z,2026-06-08
o-000098,c-1156,2369.65,completed,BR,2026-06-24T11:10:00Z,2026-06-24
o-000099,c-1593,2049.16,cancelled,BR,2026-06-05T18:01:00Z,2026-06-06
o-000100,c-1180,1694.98,cancelled,BR,2026-07-12T22:12:00Z,2026-07-12
o-000101,c-1213,1728.08,completed,BR,2026-06-05T22:49:00Z,2026-06-06
o-000102,c-1742,1712.23,pending,BR,2026-08-03T01:22:00Z,2026-08-04
o-000103,c-1355,929.57,completed,BR,2026-07-05T00:54:00Z,2026-07-06
o-000104,c-1685,1228.05,completed,BR,2026-07-08T20:57:00Z,2026-07-09
o-000105,c-1449,386.71,completed,BR,2026-07-28T20:17:00Z,2026-07-29
o-000106,c-0953,1091.76,pending,BR,2026-06-26T10:54:00Z,2026-06-26
o-000107,c-1702,2336.88,completed,BR,2026-07-19T07:48:00Z,2026-07-20
o-000108,c-1168,1527.78,completed,BR,2026-05-26T15:54:00Z,2026-05-27
o-000109,c-0373,1221.44,completed,BR,2026-06-25T10:17:00Z,2026-06-26
o-000110,c-1139,30.33,cancelled,BR,2026-06-02T07:46:00Z,2026-06-03
o-000111,c-1001,1390.16,completed,BR,2026-07-22T20:45:00Z,2026-07-23
o-000112,c-0918,1983.37,completed,BR,2026-06-20T12:44:00Z,2026-06-20
o-000113,c-0628,1661.58,completed,BR,2026-08-01T16:22:00Z,2026-08-02
o-000114,c-1528,1378.22,completed,BR,2026-07-20T08:19:00Z,2026-07-21
o-000115,c-0473,306.04,completed,BR,2026-06-07T23:34:00Z,2026-06-07
o-000116,c-0393,544.88,completed,BR,2026-08-06T16:38:00Z,2026-08-07
o-000117,c-0206,2082.41,completed,BR,2026-07-08T05:19:00Z,2026-07-08
o-000118,c-1451,1337.67,completed,BR,2026-05-29T17:18:00Z,2026-05-29
o-000119,c-1307,2171.81,completed,BR,2026-05-24T18:18:00Z,2026-05-25
o-000120,c-0981,1103.97,completed,BR,2026-05-29T08:55:00Z,2026-05-30
o-000121,c-0234,2056.18,completed,BR,2026-06-01T18:40:00Z,2026-06-01
o-000122,c-0311,377.25,completed,BR,2026-06-30T02:15:00Z,2026-06-30
o-000123,c-1143,1912.29,completed,BR,2026-08-10T07:49:00Z,2026-08-11
o-000124,c-0923,2271.72,completed,BR,2026-08-06T13:19:00Z,2026-08-06
o-000125,c-1249,2400.47,completed,BR,2026-06-18T20:13:00Z,2026-06-19
o-000126,c-1353,207.56,completed,BR,2026-08-01T02:10:00Z,2026-08-01
o-000127,c-0837,1129.01,completed,BR,2026-06-29T01:14:00Z,2026-06-30
o-000128,c-1448,710.38,pending,BR,2026-06-01T21:14:00Z,2026-06-02
o-000129,c-1614,1979.16,completed,BR,2026-06-17T13:07:00Z,2026-06-17
o-000130,c-1327,376.73,completed,BR,2026-06-10T02:03:00Z,2026-06-10
o-000131,c-1624,772.49,pending,BR,2026-08-03T09:28:00Z,2026-08-03
o-000132,c-0960,1723.25,completed,BR,2026-06-26T16:34:00Z,2026-06-27
o-000133,c-0897,205.70,completed,BR,2026-07-17T23:20:00Z,2026-07-18
o-000134,c-0053,232.86,cancelled,BR,2026-08-04T18:01:00Z,2026-08-05
o-000135,c-1181,105.38,pending,BR,2026-07-22T16:41:00Z,2026-07-23
o-000136,c-1877,699.00,cancelled,BR,2026-07-17T20:52:00Z,2026-07-18
o-000137,c-1985,232.65,completed,BR,2026-07-04T10:42:00Z,2026-07-04
o-000138,c-1757,406.26,completed,BR,2026-07-25T09:42:00Z,2026-07-26
o-000139,c-1667,1902.45,completed,BR,2026-06-03T10:16:00Z,2026-06-04
o-000140,c-0238,2425.61,completed,BR,2026-07-27T00:42:00Z,2026-07-28
o-000141,c-0847,140.24,completed,BR,2026-08-10T15:40:00Z,2026-08-11
o-000142,c-1557,133.77,completed,BR,2026-06-08T09:28:00Z,2026-06-09
o-000143,c-0249,77.03,completed,BR,2026-06-22T22:10:00Z,2026-06-23
o-000144,c-1129,39.12,completed,BR,2026-06-20T03:29:00Z,2026-06-20
o-000145,c-1327,2081.20,completed,BR,2026-06-29T16:45:00Z,2026-06-30
o-000146,c-0851,2087.64,cancelled,BR,2026-06-23T14:35:00Z,2026-06-23
o-000147,c-0786,480.57,completed,BR,2026-06-09T02:17:00Z,2026-06-10
o-000148,c-0697,2335.95,completed,BR,2026-05-23T09:46:00Z,2026-05-24
o-000149,c-1716,1469.41,cancelled,BR,2026-07-24T04:28:00Z,2026-07-25
o-000150,c-0707,834.44,pending,BR,2026-07-10T14:59:00Z,2026-07-11
o-000151,c-1781,475.69,completed,BR,2026-08-04T12:14:00Z,2026-08-05
o-000152,c-0090,798.85,completed,BR,2026-07-10T12:42:00Z,2026-07-10
o-000153,c-1015,2412.24,completed,BR,2026-08-06T10:55:00Z,2026-08-06
o-000154,c-1791,2113.37,completed,BR,2026-07-20T00:46:00Z,2026-07-20
o-000155,c-0840,2177.98,cancelled,BR,2026-06-01T15:50:00Z,2026-06-02
o-000156,c-0694,1560.03,completed,BR,2026-06-02T10:54:00Z,2026-06-03
o-000157,c-1955,795.07,completed,BR,2026-07-24T17:02:00Z,2026-07-24
o-000158,c-0481,1579.75,cancelled,BR,2026-06-21T23:05:00Z,2026-06-22
o-000159,c-0202,1902.12,completed,BR,2026-06-04T14:10:00Z,2026-06-05
o-000160,c-1851,77.22,completed,BR,2026-05-30T09:22:00Z,2026-05-31
o-000161,c-0883,368.20,completed,BR,2026-08-03T21:50:00Z,2026-08-03
o-000162,c-0349,441.80,completed,BR,2026-07-10T19:43:00Z,2026-07-10
o-000163,c-1020,2282.51,completed,BR,2026-07-21T20:16:00Z,2026-07-22
o-000164,c-0523,1668.77,pending,BR,2026-07-21T09:43:00Z,2026-07-21
o-000165,c-0152,1107.12,completed,BR,2026-08-06T09:40:00Z,2026-08-07
o-000166,c-1414,629.00,pending,BR,2026-06-17T12:54:00Z,2026-06-18
o-000167,c-0219,596.83,completed,BR,2026-08-04T09:44:00Z,2026-08-05
o-000168,c-0045,2444.97,completed,BR,2026-06-27T00:36:00Z,2026-06-27
o-000169,c-1865,1517.98,completed,BR,2026-06-28T07:38:00Z,2026-06-29
o-000170,c-0449,1593.36,completed,BR,2026-08-17T23:49:00Z,2026-08-17
o-000171,c-1287,247.42,completed,BR,2026-05-28T09:50:00Z,2026-05-29
o-000172,c-0069,1451.04,pending,BR,2026-06-03T09:20:00Z,2026-06-04
o-000173,c-0360,505.98,pending,BR,2026-07-08T16:32:00Z,2026-07-09
o-000174,c-1701,415.54,cancelled,BR,2026-07-23T09:47:00Z,2026-07-24
o-000175,c-1648,292.35,cancelled,BR,2026-06-10T07:55:00Z,2026-06-11
o-000176,c-1981,2115.13,completed,BR,2026-06-03T12:00:00Z,2026-06-04
o-000177,c-1099,313.35,completed,BR,2026-08-17T08:37:00Z,2026-08-18
o-000178,c-1685,1598.18,completed,BR,2026-08-17T07:30:00Z,2026-08-17
o-000179,c-1269,2211.17,completed,BR,2026-08-09T07:41:00Z,2026-08-09
o-000180,c-1302,2060.52,cancelled,BR,2026-06-30T20:26:00Z,2026-06-30
o-000181,c-0287,118.14,completed,BR,2026-07-25T03:06:00Z,2026-07-25
o-000182,c-1818,1346.18,completed,BR,2026-07-09T21:47:00Z,2026-07-10
o-000183,c-1203,1856.96,completed,BR,2026-07-15T20:06:00Z,2026-07-16
o-000184,c-1261,1023.25,cancelled,BR,2026-05-27T22:23:00Z,2026-05-27
o-000185,c-0909,1114.52,completed,BR,2026-07-08T03:43:00Z,2026-07-09
o-000186,c-1116,2254.73,completed,BR,2026-05-30T12:17:00Z,2026-05-30
o-000187,c-1983,309.79,pending,BR,2026-07-20T02:42:00Z,2026-07-20
o-000188,c-1315,1600.53,cancelled,BR,2026-05-29T10:15:00Z,2026-05-29
o-000189,c-1612,1413.62,completed,BR,2026-08-01T06:37:00Z,2026-08-01
o-000190,c-1666,2174.89,completed,BR,2026-06-10T19:00:00Z,2026-06-11
o-000191,c-1759,2460.15,cancelled,BR,2026-07-31T08:51:00Z,2026-07-31
o-000192,c-0226,1654.34,completed,BR,2026-05-24T11:50:00Z,2026-05-24
o-000193,c-1206,812.81,completed,BR,2026-05-29T04:47:00Z,2026-05-30
o-000194,c-1078,288.56,completed,BR,2026-07-19T11:32:00Z,2026-07-19
o-000195,c-0926,1262.08,cancelled,BR,2026-05-28T23:50:00Z,2026-05-29
o-000196,c-0939,1610.14,completed,BR,2026-07-23T12:27:00Z,2026-07-23
o-000197,c-1005,1782.44,completed,BR,2026-06-02T10:38:00Z,2026-06-02
o-000198,c-0135,319.85,completed,BR,2026-08-05T17:45:00Z,2026-08-06
o-000199,c-0781,2486.60,completed,BR,2026-07-20T16:38:00Z,2026-07-21
o-000200,c-0204,1983.77,completed,BR,2026-08-14T20:56:00Z,2026-08-14
o-000201,c-0881,1131.63,completed,BR,2026-07-05T14:25:00Z,2026-07-06
o-000202,c-1495,242.24,completed,BR,2026-08-16T08:23:00Z,2026-08-16
o-000203,c-1407,2307.85,completed,BR,2026-06-02T02:27:00Z,2026-06-02
o-000204,c-1525,1848.30,pending,BR,2026-08-02T01:37:00Z,2026-08-03
o-000205,c-1373,309.97,completed,BR,2026-08-16T13:55:00Z,2026-08-16
o-000206,c-1984,722.64,completed,BR,2026-06-05T18:32:00Z,2026-06-05
o-000207,c-0317,1643.56,completed,BR,2026-06-05T11:54:00Z,2026-06-06
o-000208,c-0236,1907.70,completed,BR,2026-07-16T17:49:00Z,2026-07-16
o-000209,c-1248,2323.07,pending,BR,2026-06-26T00:11:00Z,2026-06-27
o-000210,c-1440,1907.21,cancelled,BR,2026-07-06T00:11:00Z,2026-07-06
o-000211,c-1160,1645.07,completed,BR,2026-08-12T00:05:00Z,2026-08-12
o-000212,c-0771,1052.48,completed,BR,2026-07-09T09:46:00Z,2026-07-10
o-000213,c-1591,2353.81,completed,BR,2026-05-29T04:10:00Z,2026-05-29
o-000214,c-1381,208.55,completed,BR,2026-07-16T15:38:00Z,2026-07-17
o-000215,c-0849,686.55,pending,BR,2026-06-06T11:27:00Z,2026-06-06
o-000216,c-0581,1697.15,completed,BR,2026-07-29T21:19:00Z,2026-07-29
o-000217,c-0452,991.18,completed,BR,2026-05-23T06:19:00Z,2026-05-23
o-000218,c-1572,347.40,completed,BR,2026-07-03T03:00:00Z,2026-07-04
o-000219,c-1530,1079.48,completed,BR,2026-07-30T22:14:00Z,2026-07-31
o-000220,c-0148,995.69,pending,BR,2026-07-17T00:29:00Z,2026-07-17
o-000221,c-1766,786.09,completed,BR,2026-07-13T22:40:00Z,2026-07-14
o-000222,c-0593,292.36,completed,BR,2026-07-03T05:51:00Z,2026-07-04
o-000223,c-1704,1725.58,completed,BR,2026-07-17T03:15:00Z,2026-07-18
o-000224,c-1207,1004.12,completed,BR,2026-07-01T23:21:00Z,2026-07-01
o-000225,c-0683,1948.90,completed,BR,2026-08-12T03:33:00Z,2026-08-12
o-000226,c-1856,1941.69,completed,BR,2026-08-13T04:15:00Z,2026-08-13
o-000227,c-0300,643.64,completed,BR,2026-06-11T20:04:00Z,2026-06-11
o-000228,c-1949,1933.26,completed,BR,2026-08-03T18:28:00Z,2026-08-04
o-000229,c-1770,2427.58,completed,BR,2026-07-18T02:30:00Z,2026-07-19
o-000230,c-1294,760.54,completed,BR,2026-05-30T11:32:00Z,2026-05-30
o-000231,c-0636,1157.05,completed,BR,2026-07-09T09:04:00Z,2026-07-09
o-000232,c-1260,1487.23,completed,BR,2026-08-05T17:50:00Z,2026-08-05
o-000233,c-0922,2273.08,completed,BR,2026-06-16T10:38:00Z,2026-06-17
o-000234,c-1027,381.40,completed,BR,2026-06-05T10:45:00Z,2026-06-05
o-000235,c-1034,1617.09,completed,BR,2026-07-18T14:33:00Z,2026-07-18
o-000236,c-0746,935.27,completed,BR,2026-07-14T10:43:00Z,2026-07-14
o-000237,c-1617,1579.06,completed,BR,2026-07-04T03:35:00Z,2026-07-05
o-000238,c-0582,633.73,pending,BR,2026-08-08T04:21:00Z,2026-08-08
o-000239,c-1194,1660.71,cancelled,BR,2026-07-01T20:44:00Z,2026-07-02
o-000240,c-0265,1489.63,cancelled,BR,2026-07-01T17:24:00Z,2026-07-02
o-000241,c-1666,323.85,completed,BR,2026-08-18T16:05:00Z,2026-08-19
o-000242,c-1042,907.76,completed,BR,2026-06-15T06:21:00Z,2026-06-16
o-000243,c-0394,570.22,completed,BR,2026-06-01T09:54:00Z,2026-06-01
o-000244,c-1040,1928.33,pending,BR,2026-07-29T01:42:00Z,2026-07-30
o-000245,c-1795,1916.94,completed,BR,2026-07-10T04:10:00Z,2026-07-10
o-000246,c-1703,1733.65,completed,BR,2026-06-13T23:28:00Z,2026-06-13
o-000247,c-0842,913.93,completed,BR,2026-07-18T19:18:00Z,2026-07-19
o-000248,c-0480,1337.36,completed,BR,2026-07-22T06:23:00Z,2026-07-23
o-000249,c-0946,1924.75,pending,BR,2026-07-26T16:26:00Z,2026-07-26
o-000250,c-1673,503.25,completed,BR,2026-06-24T01:41:00Z,2026-06-25
o-000251,c-1791,931.17,cancelled,BR,2026-07-28T03:18:00Z,2026-07-28
o-000252,c-1563,404.98,completed,BR,2026-07-27T04:53:00Z,2026-07-28
o-000253,c-0188,2366.30,completed,BR,2026-07-19T11:59:00Z,2026-07-19
o-000254,c-0850,137.88,completed,BR,2026-06-22T12:05:00Z,2026-06-23
o-000255,c-0460,75.33,cancelled,BR,2026-08-14T10:50:00Z,2026-08-14
o-000256,c-0282,100.57,cancelled,BR,2026-07-22T22:53:00Z,2026-07-22
o-000257,c-1555,1765.31,completed,BR,2026-05-23T02:01:00Z,2026-05-24
o-000258,c-0442,2088.23,completed,BR,2026-08-08T16:27:00Z,2026-08-08
o-000259,c-1590,723.81,completed,BR,2026-05-29T07:26:00Z,2026-05-30
o-000260,c-0129,281.59,cancelled,BR,2026-08-07T17:01:00Z,2026-08-07
o-000261,c-1472,363.22,completed,BR,2026-08-09T11:15:00Z,2026-08-10
o-000262,c-0384,1662.61,completed,BR,2026-07-08T02:33:00Z,2026-07-08
o-000263,c-0800,2183.96,completed,BR,2026-07-11T11:16:00Z,2026-07-11
o-000264,c-0732,1972.36,completed,BR,2026-08-15T20:06:00Z,2026-08-16
o-000265,c-0274,115.62,completed,BR,2026-08-13T05:53:00Z,2026-08-14
o-000266,c-1425,1198.94,completed,BR,2026-06-09T02:45:00Z,2026-06-10
o-000267,c-0076,737.14,completed,BR,2026-06-17T01:20:00Z,2026-06-18
o-000268,c-1056,998.57,pending,BR,2026-07-22T08:02:00Z,2026-07-22
o-000269,c-0586,895.65,pending,BR,2026-08-14T10:17:00Z,2026-08-14
o-000270,c-1638,923.21,pending,BR,2026-07-18T12:21:00Z,2026-07-18
o-000271,c-1017,1731.71,completed,BR,2026-07-28T08:51:00Z,2026-07-28
o-000272,c-1490,1064.13,completed,BR,2026-06-15T17:18:00Z,2026-06-16
o-000273,c-0211,204.77,completed,BR,2026-07-01T14:38:00Z,2026-07-02
o-000274,c-0342,1725.96,completed,BR,2026-05-28T23:55:00Z,2026-05-29
o-000275,c-1260,2495.39,completed,BR,2026-05-30T02:42:00Z,2026-05-31
o-000276,c-0745,1285.15,pending,BR,2026-06-12T00:09:00Z,2026-06-13
o-000277,c-0072,319.94,completed,BR,2026-08-13T11:23:00Z,2026-08-14
o-000278,c-1945,1420.28,completed,BR,2026-08-17T14:23:00Z,2026-08-18
o-000279,c-0910,1908.90,completed,BR,2026-07-29T11:25:00Z,2026-07-30
o-000280,c-1331,700.33,cancelled,BR,2026-05-26T23:11:00Z,2026-05-27
o-000281,c-1061,970.53,completed,BR,2026-06-25T08:45:00Z,2026-06-26
o-000282,c-0440,2490.93,completed,BR,2026-07-24T06:07:00Z,2026-07-24
o-000283,c-1747,189.76,completed,BR,2026-07-18T02:51:00Z,2026-07-19
o-000284,c-1368,871.83,completed,BR,2026-07-31T09:57:00Z,2026-08-01
o-000285,c-1744,397.98,completed,BR,2026-08-20T20:11:00Z,2026-08-21
o-000286,c-1042,564.48,cancelled,BR,2026-06-09T07:50:00Z,2026-06-10
o-000287,c-0054,905.44,completed,BR,2026-07-21T17:08:00Z,2026-07-21
o-000288,c-0135,776.68,cancelled,BR,2026-07-23T16:26:00Z,2026-07-24
o-000289,c-1687,1439.38,completed,BR,2026-07-02T20:04:00Z,2026-07-03
o-000290,c-0955,1701.87,completed,BR,2026-08-01T20:37:00Z,2026-08-01
o-000291,c-1573,2415.83,completed,BR,2026-05-30T03:33:00Z,2026-05-30
o-000292,c-0623,415.82,completed,BR,2026-06-20T11:33:00Z,2026-06-21
o-000293,c-1733,201.76,completed,BR,2026-08-01T08:08:00Z,2026-08-02
o-000294,c-1259,1336.03,completed,BR,2026-06-13T18:37:00Z,2026-06-13
o-000295,c-0351,1648.54,pending,BR,2026-08-08T10:53:00Z,2026-08-08
o-000296,c-1691,2160.13,completed,BR,2026-08-13T18:16:00Z,2026-08-13
o-000297,c-1571,1432.48,completed,BR,2026-05-26T15:56:00Z,2026-05-27
o-000298,c-1315,2391.84,completed,BR,2026-08-18T12:19:00Z,2026-08-19
o-000299,c-0150,1723.09,completed,BR,2026-07-15T15:29:00Z,2026-07-15
o-000300,c-0697,1518.62,completed,BR,2026-07-02T23:55:00Z,2026-07-03
o-000301,c-1998,999.80,pending,BR,2026-07-27T17:06:00Z,2026-07-28
o-000302,c-0496,1168.85,completed,BR,2026-06-23T04:06:00Z,2026-06-23
o-000303,c-0595,2363.74,pending,BR,2026-07-15T07:55:00Z,2026-07-15
o-000304,c-1667,821.95,completed,BR,2026-07-02T06:48:00Z,2026-07-02
o-000305,c-1021,2489.94,completed,BR,2026-07-01T15:01:00Z,2026-07-01
o-000306,c-1936,986.14,completed,BR,2026-06-22T06:37:00Z,2026-06-23
o-000307,c-0100,131.10,completed,BR,2026-08-14T21:30:00Z,2026-08-15
o-000308,c-1100,25.40,completed,BR,2026-06-09T08:46:00Z,2026-06-10
o-000309,c-1565,1011.12,completed,BR,2026-05-29T18:35:00Z,2026-05-29
o-000310,c-0743,1385.29,completed,BR,2026-07-26T14:48:00Z,2026-07-27
o-000311,c-1691,2472.78,completed,BR,2026-06-07T04:06:00Z,2026-06-08
o-000312,c-0765,1988.27,completed,BR,2026-07-08T04:12:00Z,2026-07-09
o-000313,c-1025,105.44,completed,BR,2026-07-04T15:33:00Z,2026-07-05
o-000314,c-0306,1517.62,completed,BR,2026-07-03T19:20:00Z,2026-07-03
o-000315,c-0805,2476.59,pending,BR,2026-06-30T18:21:00Z,2026-07-01
o-000316,c-1452,1409.50,completed,BR,2026-05-25T11:21:00Z,2026-05-25
o-000317,c-0854,1461.34,pending,BR,2026-08-19T20:01:00Z,2026-08-20
o-000318,c-0544,2417.84,pending,BR,2026-08-05T18:14:00Z,2026-08-05
o-000319,c-1196,1203.72,completed,BR,2026-08-10T12:09:00Z,2026-08-10
o-000320,c-0065,1433.56,completed,BR,2026-06-16T00:28:00Z,2026-06-17
o-000321,c-0858,382.82,completed,BR,2026-07-14T16:49:00Z,2026-07-15
o-000322,c-1788,2121.70,pending,BR,2026-06-09T16:13:00Z,2026-06-10
o-000323,c-1357,1198.54,completed,BR,2026-06-14T14:58:00Z,2026-06-15
o-000324,c-1119,888.95,pending,BR,2026-08-18T20:51:00Z,2026-08-19
o-000325,c-1250,1213.03,cancelled,BR,2026-06-27T17:19:00Z,2026-06-27
